Timestamp,Date,Gender,Age,Race,Which state are you from?,Which university are you from?,How many hours do you spend on social media in a day? (0.5 hour=30 minutes) ,Which social media site do you use the most?,What is the rating of your most used app?,How many friends did you add in your Facebook today?,How many followers did you gain in your Instagram today?
2022/05/26 10:19:38 pm GMT+8,5/26/2022,Male,21,Chinese,Johor,Universiti Malaya (UM),4,Instagram,3.5,0,2
2022/05/26 10:22:50 pm GMT+8,5/26/2022,Female,21,Chinese,Perak,Universiti Malaysia Pahang (UMP),6,Instagram ,3.5,0,1
2022/05/26 10:26:27 pm GMT+8,5/26/2022,Male,21,Chinese,Sarawak,Universiti Malaysia Pahang (UMP),3,WhatsApp,4.3,0,0
2022/05/26 10:32:20 pm GMT+8,5/26/2022,Male,22,Chinese,Johor,Universiti Malaysia Pahang (UMP),2,WhatsApp,4.3,0,0
2022/05/26 10:47:27 pm GMT+8,5/26/2022,Female,20,Malay,Pahang,Universiti Malaya (UM),4,TikTok,4.6,0,0
2022/05/26 7:46:29 pm GMT+8,5/26/2022,Male,23,Chinese,Penang,Universiti Malaysia Sarawak (UNIMAS),0.5,Facebook ,3.2,0,0
2022/05/26 7:47:29 pm GMT+8,5/26/2022,Female,21,Malay,Malacca,Universiti Malaysia Kelantan (UMK),1.5,TikTok,4.6,0,2
2022/05/26 7:49:42 pm GMT+8,5/26/2022,Female,21,Malay,Malacca,Universiti Malaysia Pahang (UMP),4,TikTok,4.6,0,0
2022/05/26 7:51:21 pm GMT+8,5/26/2022,Male,21,Chinese,Penang,Universiti Utara Malaysia (UUM),2,YouTube,4.2,0,0
2022/05/26 7:59:28 pm GMT+8,5/26/2022,Female,21,Malay,Malacca,Universiti Teknologi MARA (UiTM),6,WhatsApp,4.3,3,70
2022/05/26 8:06:26 pm GMT+8,5/26/2022,Female,21,Chinese,Perak,Universiti Sains Malaysia (USM),10,Facebook,3.2,2,1
2022/05/26 8:44:29 pm GMT+8,5/26/2022,Female,21,Chinese,Perak,Universiti Utara Malaysia (UUM),6,WhatsApp,4.3,0,0
2022/05/26 9:54:52 pm GMT+8,5/26/2022,Male,21,Chinese,Pahang,Universiti Malaysia Pahang (UMP),3,TikTok,4.6,1,1
2022/05/26 9:59:35 pm GMT+8,5/26/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),3.5,TikTok,4.6,0,0
2022/05/27 10:00:48 pm GMT+8,5/27/2022,Female,21,Chinese,Perak,Universiti Sains Malaysia (USM),6,WhatsApp,4.3,0,0
2022/05/27 10:09:29 pm GMT+8,5/27/2022,Male,21,Chinese,Pahang,Universiti Malaysia Pahang (UMP),5,TikTok,4.6,0,2
2022/05/27 10:14:39 pm GMT+8,5/27/2022,Male,21,Chinese,Johor,Universiti Tun Hussein Onn Malaysia (UTHM),2,Instagram,3.5,0,0
2022/05/27 10:15:49 pm GMT+8,5/27/2022,Male,21,Chinese,Penang,Universiti Malaysia Pahang (UMP),13,YouTube,4.2,0,1
2022/05/27 10:21:49 pm GMT+8,5/27/2022,Female,21,Malay,Malacca,Universiti Malaysia Pahang (UMP),2.5,Twitter,3,0,3
2022/05/27 10:27:59 pm GMT+8,5/27/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),5,YouTube,4.1,0,0
2022/05/27 10:29:01 pm GMT+8,5/27/2022,Male,21,Chinese,Johor,Universiti Malaya (UM),4,Instagram,3.5,0,0
